Value sent: º  -  Time: 2018:04:22T18:02:46.407Z
Value sent: 0  -  Time: 2018:04:22T18:02:48.26Z
Value sent: 0  -  Time: 2018:04:22T18:02:49.50Z
Value sent: 0  -  Time: 2018:04:22T18:02:50.70Z
Value sent: 0  -  Time: 2018:04:22T18:02:51.90Z
Value sent: 0  -  Time: 2018:04:22T18:02:52.114Z
Value sent: 0  -  Time: 2018:04:22T18:02:53.134Z
Value sent: 0  -  Time: 2018:04:22T18:02:54.154Z
Value sent: 0  -  Time: 2018:04:22T18:02:55.178Z
Value sent: 0  -  Time: 2018:04:22T18:02:56.198Z
Value sent: 0  -  Time: 2018:04:22T18:02:57.222Z
Value sent: 0  -  Time: 2018:04:22T18:02:58.244Z
Value sent: 0  -  Time: 2018:04:22T18:02:59.262Z
Value sent: 0  -  Time: 2018:04:22T18:03:00.286Z
Value sent: 0  -  Time: 2018:04:22T18:03:01.306Z
Value sent: 0  -  Time: 2018:04:22T18:03:02.330Z
Value sent: 0  -  Time: 2018:04:22T18:03:03.350Z
Value sent: 0  -  Time: 2018:04:22T18:03:04.370Z
Value sent: 0  -  Time: 2018:04:22T18:03:05.394Z
Value sent: 0  -  Time: 2018:04:22T18:03:06.414Z
Value sent: Œ  -  Time: 2018:04:22T18:03:07.438Z
Value sent: 2  -  Time: 2018:04:22T18:03:08.458Z
Value sent: 0  -  Time: 2018:04:22T18:03:09.478Z
Value sent: 0  -  Time: 2018:04:22T18:03:10.502Z
Value sent: 0  -  Time: 2018:04:22T18:03:11.522Z
Value sent: 0  -  Time: 2018:04:22T18:03:12.546Z
Value sent: 2  -  Time: 2018:04:22T18:03:13.566Z
Value sent: 2  -  Time: 2018:04:22T18:03:14.586Z
Value sent: 2  -  Time: 2018:04:22T18:03:15.610Z
Value sent: 2  -  Time: 2018:04:22T18:03:16.630Z
Value sent: 0  -  Time: 2018:04:22T18:03:17.654Z
Value sent: 0  -  Time: 2018:04:22T18:03:18.674Z
Value sent: 0  -  Time: 2018:04:22T18:03:19.694Z
Value sent: 0  -  Time: 2018:04:22T18:03:20.718Z
Value sent: 0  -  Time: 2018:04:22T18:03:21.738Z
Value sent: 0  -  Time: 2018:04:22T18:03:22.762Z
Value sent: 0  -  Time: 2018:04:22T18:03:23.782Z
Value sent: 0  -  Time: 2018:04:22T18:03:24.802Z
Value sent: 0  -  Time: 2018:04:22T18:03:25.826Z
Value sent: 0  -  Time: 2018:04:22T18:03:26.846Z
