Value sent: ç  -  Time: 2018:04:22T17:50:52.374Z
Value sent: 0  -  Time: 2018:04:22T17:50:53.996Z
Value sent: 0  -  Time: 2018:04:22T17:50:55.16Z
Value sent: 0  -  Time: 2018:04:22T17:50:56.36Z
Value sent: 0  -  Time: 2018:04:22T17:50:57.60Z
Value sent: 0  -  Time: 2018:04:22T17:50:58.79Z
Value sent: 0  -  Time: 2018:04:22T17:50:59.100Z
Value sent: 0  -  Time: 2018:04:22T17:51:00.123Z
Value sent: 0  -  Time: 2018:04:22T17:51:01.144Z
Value sent: 0  -  Time: 2018:04:22T17:51:02.168Z
Value sent: 0  -  Time: 2018:04:22T17:51:03.188Z
Value sent: 0  -  Time: 2018:04:22T17:51:04.208Z
Value sent: 0  -  Time: 2018:04:22T17:51:05.232Z
Value sent: 0  -  Time: 2018:04:22T17:51:06.252Z
Value sent: 0  -  Time: 2018:04:22T17:51:07.276Z
Value sent: 0  -  Time: 2018:04:22T17:51:08.296Z
Value sent: 0  -  Time: 2018:04:22T17:51:09.316Z
Value sent: 0  -  Time: 2018:04:22T17:51:10.340Z
Value sent: 0  -  Time: 2018:04:22T17:51:11.359Z
Value sent: 0  -  Time: 2018:04:22T17:51:12.380Z
Value sent: C  -  Time: 2018:04:22T17:51:13.404Z
Value sent: 0  -  Time: 2018:04:22T17:51:14.423Z
Value sent: 0  -  Time: 2018:04:22T17:51:15.448Z
Value sent: 0  -  Time: 2018:04:22T17:51:16.468Z
Value sent: 0  -  Time: 2018:04:22T17:51:17.487Z
Value sent: 0  -  Time: 2018:04:22T17:51:18.512Z
Value sent: 0  -  Time: 2018:04:22T17:51:19.532Z
Value sent: 0  -  Time: 2018:04:22T17:51:20.556Z
Value sent: 0  -  Time: 2018:04:22T17:51:21.575Z
Value sent: 0  -  Time: 2018:04:22T17:51:22.596Z
Value sent: 0  -  Time: 2018:04:22T17:51:23.620Z
Value sent: 0  -  Time: 2018:04:22T17:51:24.640Z
Value sent: 2  -  Time: 2018:04:22T17:51:25.663Z
Value sent: 2  -  Time: 2018:04:22T17:51:26.683Z
Value sent: 2  -  Time: 2018:04:22T17:51:27.704Z
Value sent: 0  -  Time: 2018:04:22T17:51:28.728Z
Value sent: 0  -  Time: 2018:04:22T17:51:29.748Z
Value sent: 0  -  Time: 2018:04:22T17:51:30.772Z
Value sent: 2  -  Time: 2018:04:22T17:51:31.792Z
Value sent: 1  -  Time: 2018:04:22T17:51:32.816Z
Value sent: û  -  Time: 2018:04:22T17:51:33.836Z
Value sent: 0  -  Time: 2018:04:22T17:51:34.856Z
Value sent: 0  -  Time: 2018:04:22T17:51:35.879Z
Value sent: 0  -  Time: 2018:04:22T17:51:36.900Z
Value sent: 0  -  Time: 2018:04:22T17:51:37.920Z
Value sent: 0  -  Time: 2018:04:22T17:51:38.944Z
Value sent: 0  -  Time: 2018:04:22T17:51:39.964Z
Value sent: 0  -  Time: 2018:04:22T17:51:40.987Z
Value sent: 0  -  Time: 2018:04:22T17:51:42.7Z
Value sent: 0  -  Time: 2018:04:22T17:51:43.28Z
Value sent: 0  -  Time: 2018:04:22T17:51:44.52Z
Value sent: 1  -  Time: 2018:04:22T17:51:45.72Z
Value sent: 2  -  Time: 2018:04:22T17:51:46.96Z
Value sent: 2  -  Time: 2018:04:22T17:51:47.116Z
Value sent: 0  -  Time: 2018:04:22T17:51:48.140Z
Value sent: 0  -  Time: 2018:04:22T17:51:49.160Z
Value sent: 0  -  Time: 2018:04:22T17:51:50.180Z
Value sent: 0  -  Time: 2018:04:22T17:51:51.203Z
Value sent: 0  -  Time: 2018:04:22T17:51:52.224Z
Value sent: 1  -  Time: 2018:04:22T17:51:53.244Z
